DeviceName,Id,UserId
MHD-MJ06KGX0,771d5a38-2bb9-4e6c-ad8e-5ff74ec743ad,d7d53ce4-e485-46e6-a6be-c0bb0fb8e3d9
MHD-MJ06KGXM,a66685b0-2a91-4989-9ee0-1b7771e5ad34,3979267c-1d93-4203-91ca-e9e0d11dea40
MHD-MJ076U45,54126ca9-ca31-47fe-8274-2cf47baba836,9a56ec65-e035-4db9-8a41-ad56be618f89
MHD-MJ07BXHK,c6c33225-9961-4a16-8d5b-9d302d2eb6d7,814811ef-9c3a-467c-8fa2-be9fba0fb883
MHD-MJ07BXHV,f4afe9ac-cb84-4231-8ecc-3386d30d476e,4fc17833-2fc8-418b-b647-45b17a1bcc7b
MHD-MJ07BXHZ,bad1ac61-d2fe-405f-9b76-94a36988cb9d,597fe319-786e-48ad-a08a-3d8a2082fa8c
MHD-MJ07BXJ3,c0a41373-e32b-4911-83e0-f8c85ff12fb7,3c467373-3348-4caa-be96-97dce69cb3a3
MHD-MJ07DSJQ,7682afda-02f7-47c7-8081-f3fc90d16681,e34a70e2-178c-4a82-9b82-f4af513c210d
MHD-MJ07L3Y4,96dc6e7a-4d80-4143-8404-82d09c3c1ab9,c8850927-3eb6-448d-b8a5-aaad2cac32e8
MHD-MJ07L3YA,bba531be-8675-48a3-a60e-1826bc20973f,fb0ef038-6921-41e6-bad4-1b6ed2258407
MHD-MJ07L3YE,b115741c-eb3c-4d14-a7aa-dc711fa01d01,9b8ea3f5-3425-490a-beea-eca1283aa914
MHD-MJ07L3Z0,085770d3-6966-45e8-afab-37fc56af83a5,2ea8b4ef-e364-4e21-89e1-6b568c4b345c
MHD-MJ089EAL,2b767933-d392-4771-8679-4a6460c63ff9,44da0c62-d5da-4897-9673-b879294f84fd
MHD-MJ08AS6X,5ed968c8-ee8e-47c1-8280-da871fd623bb,ed576738-f257-492a-b1b5-fead83026c47
MHD-MJ08X75R,262ac3f8-919b-49ee-8657-6f6bf47145de,cf5ea043-e9b1-4aa4-88dd-2f0f103b12e9
MHD-MJ08X83C,7a34f063-146c-4cb8-a967-d9b86d2c3488,4cb7ad54-5f8f-40c9-a6cb-bf5d4b5d42a7
MHD-MJ094P52,3c216216-f9ff-40d9-a2b2-8c7a23ca2abd,e4ddd242-bd6e-4a96-9b93-f62b5d5e582f
MHD-MJ094P5C,9812308b-3624-4eb1-b9f4-5a91a9dd8c2f,d7a04eb4-395b-4a93-8aa7-23adc405efee
MHD-MJ094P5Z,23ac504f-e789-495b-bba5-4f2163290a2d,2256dff3-a480-4581-a6fa-795293ebc5cc
MHD-MJ094P63,94ec15bc-7313-4415-90f7-c4be488cd5c8,3eeb5a69-7120-4fba-abfe-b12ebe5d7846
MHD-MJ094P66,b6ac92f4-ae9e-496d-b9cf-b9f5fbeab8fd,7e517231-e0a5-4289-87f5-405926741847
MHD-MJ09AK6N,5f5729de-374e-4bc1-a894-f91381706f28,9fec1a57-6e82-4d56-9ab4-58b19f8275bc
MHD-MJ09AYVJ,2ffb09ef-7214-4627-ac05-545034a2a83d,87b9b3a7-5bfe-4c5b-a5a6-29bf94254221
MHD-MJ09AYVW,61e1589d-29f2-4723-925c-7b27b5126f6d,28df82ec-8c97-4d7e-adf5-7aa5a8de4744
MHD-MJ09BAW2,c299a7e1-6657-40ca-8488-c218442f37b3,a8846603-8c61-4506-aa7f-90415ab037bf
MHD-MJ09BAWM,d4a451b5-76fd-4266-9e04-ee89923c4699,03a9d282-4741-4957-a370-08341189fdc7
MHD-MJ09BAXJ,4f034cc8-c338-4963-a911-f9aca357749d,899af7c1-c85b-40de-b722-d79df94261c8
MHD-MJ09GTS2,63aa8a7a-2c0b-4c0e-9189-786a5abefdea,b08be782-0ebc-46c8-aa4c-21acbfa40026
MHD-MJ09GTV5,56d417f0-9649-433e-ae46-bffdfbfe5ee2,ea143c5e-10dd-4619-b758-50d41c81d63e
MHD-MJ09GTV7,bfa3b6d8-582e-48fe-8abc-7e2c94fde812,7a3dec18-c60a-48a8-a16c-8761929a1093
MHD-MJ09GTXX,e1293121-9009-4380-bd97-827f4925872d,e0ff15e5-cd30-4346-b2d6-f188198c670a
MHD-MJ09GTY6,32c6abda-ce47-4a64-8bc4-179b0d509ae4,f36f44cd-edd8-4678-8e8d-2def5ddec547
MHD-MJ09GTYQ,c6f612e5-3b9c-49b1-8245-74bd1b5b1b6c,f5b539f4-3e1a-4942-a6b3-58e1333fe988
MHD-MJ09GTZ4,8648af80-f74c-4d92-889a-434a779bc762,543ee417-afb2-447d-b3d7-914f8c19bb83
MHD-MJ09GTZ9,0552b886-b463-4bf4-b860-a6c803bbd397,847c119a-e43d-4a14-9403-816cbda397ee
MHD-MJ09GV04,6d34c206-a0fe-49a8-8007-17e81392da36,11d4b770-694e-40c5-9b85-365e991c9efa
MHD-MJ09RHLG,07d802ab-db6b-4f8a-a35d-540d7a0bcd4b,5c2e76f3-f7d5-4c21-9c9d-6f5a54f11500
MHD-MJ09RHMG,1616fdc6-fc57-4027-9761-0271c5e781b3,995ac934-64ca-454d-aa8f-e0afa11a9cb7
MHD-MJ09RHMR,39706d61-38e9-4461-afb8-f2a44495b3db,4e8af34b-3cbc-4ab3-8184-bff52607bdd8
MHD-MJ0BFLGD,ef0df129-23f6-4497-8354-a4a3447c0d69,8e659956-92d8-45cb-9002-439afcc64345
MHD-MJ0BFLGN,b28aadc1-9a4d-4de9-b94d-26447eb63d7a,28a0be71-b61a-49f8-ba78-7f875d62d82c
MHD-MJ0BFN0N,86ff28ac-a27d-4d5e-b39c-cb83b779b548,dffc855d-ca01-4f1e-a03a-0100e130e83d
MHD-MJ0BFN4G,004825fe-f1e3-4f0d-a8c5-a51f6be2a0c5,045974ca-51ff-46f9-b431-c261de76ec71
MHD-MJ0BFN4Z,dbbef295-b513-462e-9472-b23ee669d7f0,afcfb3a7-a614-4d5f-a75b-80077c8dc51c
MHD-MJ0BPYNE,fac40fb8-78f2-4f59-8c5a-e8dcc431fb0f,b99b2c7f-d780-47e6-8208-6d4e94a7c759
MHD-MJ0FT7YN,88e95192-935f-495d-b8b9-df561aebac17,1087928f-acf5-4c79-aec2-3cf30cef82b5
MHD-MJ0FT7YQ,9ef98c8a-fade-4d72-a0e7-c4adef2845ec,52e16def-f914-4ab9-bbd5-803a5670f66c
MHD-MJ0FT835,b6498cc4-16af-4a58-b9ef-b166253df8c7,4a0bbe84-dbf1-4242-ae85-27917a43e538
MHD-MJ0FT85G,c2dc060b-5774-4ff7-ad48-d9ca9d3a7015,03e5a037-9044-463b-bbff-f720c8fafb8d
MHD-MJ0FT85L,36a1c7e6-5f4a-4887-a033-ee544c41a3c5,272d531c-8dba-4e57-826d-53a13b68c4d4
MHD-MJ0FT86T,5c5f08bc-f41b-412c-a923-ce37bd673ebc,8ce2d7cd-b87a-41a7-8682-c53c47514e40
MHD-MJ0G9YTD,a7ac9306-3231-4793-aa09-39dc4d9a804d,c549439e-a6df-4dc8-aaa9-f9c4bce7ed22
MHD-MJ0G9YV9,84037fc5-763d-43d4-9cca-d5f4e258ef21,1ca59673-c647-4985-9016-0b7de008243b
MHD-MJ0GM4N3,14d5c0a6-13c2-4578-aeef-480da8cf2743,f3f995c0-6634-4aac-a5af-e5f29199ad32
MHD-MJ0GM50M,8a9363ec-0508-47ce-814f-59fc0f846597,185b22fa-f1f9-469f-8124-18acdb58de8e
MHD-MJ0GMHED,7b77844c-898d-459d-8672-df7fa0f117e0,e0e37900-f5db-4c9c-adcf-7871baf793eb
MHD-MJ0H6NBY,51faa65c-7324-484a-bada-d00bdc939406,46ff27f8-7324-4950-80c7-8e6b609f593d
MHD-MJ0H6ND6,82c1b4ab-c237-44ad-a926-0207e680540f,b65cc6ab-ebed-40f5-acad-7e506a238112
MHD-MJ0H6NDB,905b82dd-cd6b-49ac-a76a-8b00187b06b4,aa607ad5-8b97-4d14-afbc-72872999286a
MHD-MJ0H6NDC,df890fe5-2833-42b1-8492-f70abfcb2d0a,7503436e-9c5a-460b-8885-a51ec51e84c5
MHD-MJ0H6NGE,5988cf33-c9a2-4bb1-9b68-ca4a298521fe,9eb2927f-ef61-42cd-9fea-52974d0175bb
MHD-MJ0H6NQ6,47df5a0e-58da-43bd-a7be-6c33813259a1,98d1858e-bb4a-4b7e-83ac-7a3e3c1b6707
MHD-MJ0H7X2B,078a2397-7e8c-4d18-9ae0-dfd906f6eb2d,4367eed8-01c6-48e9-b81c-81077adbe6b6
MHD-MJ0H7X6B,ad421df9-1e74-4d99-8c73-67910a74587f,aac1f53f-007b-4a21-9a55-73a0e059662f
MHD-MJ0H7XAW,d94e4f2c-1ac0-42fd-b286-c146d824766b,fd32bdc7-0a20-4567-906e-203dbb4718ca
MHD-MJ0H7XE1,610c08a8-13d6-41cf-81d4-acb2fbfc7028,05506cc3-fd16-4d0a-a7cb-6d544d6623f4
MHD-MJ0H7XFE,7cfe22eb-7c20-4d8a-984d-60c23ac4ef23,8685b0de-6faa-4751-b776-a48ebf172d60
MHD-MJ0H7Y1C,0e2b7bfa-e040-42bc-9d06-95d28883cf62,c1859de8-0866-4e4b-9264-d48b523c00cc
MHD-MJ0H8MFA,6386ffdf-c437-4ed0-82f6-16a3dd1460b3,20cbc199-9d7d-48ab-a9f7-f12aa4d733c1
MHD-MJ0H8MFY,a2663913-ac9e-4968-9319-47b83f1f443e,d4066da1-bf9a-43fe-93b2-f79edaee3ee0
MHD-MJ0H8MH1,f96670e4-5ce0-4832-a559-860c3e17de80,84e21c0c-a62d-404e-a666-a455b51111b4
MHD-MJ0H8MH8,3a3fe425-c004-4839-ad6f-8995747b9f9e,fc74c55f-f33c-4e0f-8b07-2cb39b299389
MHD-MJ0H8MJ3,1c1a5a22-63a3-4eac-bac4-dedbbe4afe79,17473cdc-0fe2-4177-a6bb-27990f6c51e6
MHD-MJ0H8MJZ,d5a5ad12-ec85-4daf-be1e-8c3fbea6eff3,88490fe8-92e0-44fb-8dfb-dd13b0b811d5
MHD-MJ0H8MKD,2dd320f6-c2e9-461d-84f9-61fb72c721dd,de368a27-fbf0-4a24-a23f-a824ea88beed
MHD-MJ0HWY22,6697966c-3ea1-4f10-b81c-3681f2ac7241,2c4da44a-62c6-4371-b05d-8a7d3409be43
MHD-MJ0HWY3Q,e2671de7-e71e-4c3f-9937-211d79c16ce3,92d72bfc-f487-427e-afa4-fc4589146bf6
MHD-MJ0HWY6C,d5f42ba6-58b5-4ab9-83a9-e9434944ea9b,0f653e36-da27-44da-982b-7db9cf3f15ce
MHD-MJ0HWY90,50d994e7-3e9f-4409-9fcc-7d95ba2fc467,ef467440-2404-4537-b4e4-72441fdc3e7f
MHD-MJ0HWY9A,e181b394-f750-4bf5-b15b-bc223067b9bf,150a0786-0471-4d86-97c7-f2f8ebd614d3
MHD-MJ0HWYBS,24cb2636-75e5-434c-ba7e-ab3584f75e80,a78ca49b-cb09-496f-8984-2d835f60eeea
MHD-MJ0HWYD1,8b22ca46-3455-4ccb-8893-6640cbfbfd52,0aa12152-c6a6-488b-9df6-29f0857286e5
MHD-MJ0HWYGW,d10e26ab-5fda-4931-b4c8-a06711a37a17,bddfea4d-c455-406c-ab74-255d7b664a9a
MHD-MJ0HWYLR,bfc85aef-4ffa-43b9-98b4-df69634da11d,da35e081-0e26-42eb-a4b4-469febd9b025
MHD-MJ0HWYMZ,11e4c9d4-0e5a-4ec5-98ca-11120f963122,4f411546-29bd-471a-ae78-cf500a55625f
MHD-MJ0HWYN8,b7b53e85-a4bb-49c1-8386-3c3e09a5b927,f950a0c6-d872-4e65-8980-4e3bdb676324
MHD-MJ0HYNJR,3419a833-fd58-4a1b-9959-186870408224,a93aff77-d819-4bb0-afe5-24943b6f6842
MHD-MJ0JQJBD,a4ff3f36-f30c-48e9-b347-20e18baf4225,15c05fea-71b2-470f-80d1-20fcd83b98cf
MHD-MJ0JQJN7,0c4f2202-d127-42e6-a53f-0ce2a02d45cc,44cef42e-266e-4339-be45-a046675f39b0
MHD-MJ0JQQAS,6dbbd48d-181b-4030-985e-7d6b1e0fef38,ffa32bfe-d9f8-4d63-bc66-d278ad43d133
MHD-MJ0JQR83,fff07019-b856-4f3f-98be-10f6640d477b,401ce96f-42b3-40ef-bac7-098731abf213
MHD-MJ0JQR93,a7afb33d-c1f3-4c11-84de-7d79821d79e5,2645b2cd-4ce2-4a6e-89af-0f8c69e0b8f1
MHD-MJ0K12P5,32ddccd0-4b0f-46f0-b9ee-cca958ef0cb5,6b7c7baf-1448-466a-b50a-54233dbe4a97
MHD-MJ0K2ERZ,dd0ff513-3b47-4d20-ba73-3b54f3f443cb,78cbb9a3-7acb-4534-b996-a2a18938363a
